Season,Team,Game Number,Opponent Team,Arena Capacity,Attendance,Percentage
2024,Boston Celtics,2,Miami Heat,19156,19156,1.0
2024,Boston Celtics,4,Indiana Pacers,19156,19156,1.0
2024,Boston Celtics,8,Brooklyn Nets,19156,19156,1.0
2024,Boston Celtics,9,Toronto Raptors,19156,19156,1.0
2024,Boston Celtics,10,New York Knicks,19156,19156,1.0
2024,Boston Celtics,15,Milwaukee Bucks,19156,19156,1.0
2024,Boston Celtics,17,Atlanta Hawks,19156,19156,1.0
2024,Boston Celtics,18,Chicago Bulls,19156,19156,1.0
2024,Boston Celtics,19,Philadelphia 76ers,19156,19156,1.0
2024,Boston Celtics,21,New York Knicks,19156,19156,1.0
2024,Boston Celtics,22,Cleveland Cavaliers,19156,19156,1.0
2024,Boston Celtics,23,Cleveland Cavaliers,19156,19156,1.0
2024,Boston Celtics,24,Orlando Magic,19156,19156,1.0
2024,Boston Celtics,25,Orlando Magic,19156,19156,1.0
2024,Boston Celtics,30,Detroit Pistons,19156,19156,1.0
2024,Boston Celtics,31,Toronto Raptors,19156,19156,1.0
2024,Boston Celtics,34,Utah Jazz,19156,19156,1.0
2024,Boston Celtics,37,Minnesota Timberwolves,19156,19156,1.0
2024,Boston Celtics,39,Houston Rockets,19156,19156,1.0
2024,Boston Celtics,41,San Antonio Spurs,19156,19156,1.0
2024,Boston Celtics,42,Denver Nuggets,19156,19156,1.0
2024,Boston Celtics,46,Los Angeles Clippers,19156,19156,1.0
2024,Boston Celtics,47,New Orleans Pelicans,19156,19156,1.0
2024,Boston Celtics,48,Indiana Pacers,19156,19156,1.0
2024,Boston Celtics,49,Los Angeles Lakers,19156,19156,1.0
2024,Boston Celtics,50,Memphis Grizzlies,19156,19156,1.0
2024,Boston Celtics,51,Atlanta Hawks,19156,19156,1.0
2024,Boston Celtics,52,Washington Wizards,19156,19156,1.0
2024,Boston Celtics,55,Brooklyn Nets,19156,19156,1.0
2024,Boston Celtics,58,Philadelphia 76ers,19156,19156,1.0
2024,Boston Celtics,59,Dallas Mavericks,19156,19156,1.0
2024,Boston Celtics,60,Golden State Warriors,19156,19156,1.0
2024,Boston Celtics,66,Phoenix Suns,19156,19156,1.0
2024,Boston Celtics,68,Detroit Pistons,19156,19156,1.0
2024,Boston Celtics,69,Milwaukee Bucks,19156,19156,1.0
2024,Boston Celtics,76,Oklahoma City Thunder,19156,19156,1.0
2024,Boston Celtics,77,Sacramento Kings,19156,19156,1.0
2024,Boston Celtics,78,Portland Trail Blazers,19156,19156,1.0
2024,Boston Celtics,80,New York Knicks,19156,19156,1.0
2024,Boston Celtics,81,Charlotte Hornets,19156,19156,1.0
2024,Boston Celtics,82,Washington Wizards,19156,19156,1.0
2024,New York Knicks,1,Boston Celtics,19812,19812,1.0
2024,New York Knicks,5,Cleveland Cavaliers,19812,19812,1.0
2024,New York Knicks,7,Los Angeles Clippers,19812,19812,1.0
2024,New York Knicks,8,San Antonio Spurs,19812,19812,1.0
2024,New York Knicks,9,Charlotte Hornets,19812,19812,1.0
2024,New York Knicks,15,Miami Heat,19812,19812,1.0
2024,New York Knicks,16,Phoenix Suns,19812,19812,1.0
